Feature,Coefficient
Attendance,2.278447387802101
Hours_Studied,1.729650845603669
Previous_Scores,0.6932259833515944
Tutoring_Sessions,0.6196088010921044
Peer_Influence,0.40464094289515595
Distance_from_Home,0.31420015649244415
Extracurricular_Activities,0.2789661424154307
Internet_Access,0.2594603545829311
Physical_Activity,0.17842392453045816
Parental_Education_Level,0.12404041502355663
Gender,-0.009275120900009261
School_Type,-0.015342007472141725
Sleep_Hours,-0.04251484341052055
Motivation_Level,-0.12048067404760972
Family_Income,-0.12348929197020013
Teacher_Quality,-0.21337723758930469
Learning_Disabilities,-0.27358356512187315
Access_to_Resources,-0.35215528493732584
Parental_Involvement,-0.38674430929316467
